price,type,sqfeet,beds,baths,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state,pets_allowed
875,3,980,2,1,1,0,0,0,4,2,23,1
1025,3,1365,3,2,1,0,0,0,4,2,23,1
875,3,980,2,1,1,0,0,0,4,2,23,1
1025,3,1365,3,2,1,0,0,0,4,2,23,1
925,3,1115,2,2,1,0,0,0,4,2,23,1
1150,3,1300,3,2,1,0,0,0,4,2,23,1
995,3,1130,2,2,1,0,0,0,4,2,23,1
2640,2,982,2,2,0,1,0,0,4,2,34,1
995,3,1130,2,2,1,0,0,0,4,2,23,1
1150,3,1300,3,2,1,0,0,0,4,2,23,1
795,3,704,1,1,1,0,0,0,4,0,23,1
995,3,1070,2,2,1,0,0,0,4,0,23,1
1275,3,1514,2,2,1,0,0,0,4,0,23,1
1100,3,1490,2,2,1,0,0,0,4,0,23,1
1300,3,1746,3,2,1,0,0,0,4,0,23,1
1275,3,1514,2,2,1,0,0,0,4,0,23,1
880,0,1100,2,1,1,0,0,0,3,4,15,1
395,3,2000,4,1,1,0,0,1,4,4,34,0
395,1,2000,4,1,1,0,0,1,4,4,34,0
395,1,2000,6,2,1,0,0,1,4,4,34,0
1050,3,1100,3,2,0,0,0,0,4,4,26,1
875,2,725,2,1,1,0,0,0,0,4,34,1
1400,1,1000,2,1,0,0,0,1,4,1,34,0
539,0,1064,4,2,0,0,0,1,1,4,13,1
650,3,800,2,1,1,0,0,0,1,4,24,1
1058,3,1596,3,2,0,0,0,0,3,4,29,1
1595,1,1705,4,2,0,0,0,0,3,0,14,1
878,3,786,1,1,0,0,0,0,0,4,29,1
2640,2,982,2,2,0,1,0,0,4,2,34,1
1875,3,1276,2,1,1,0,0,0,4,4,19,1
1875,3,985,2,2,1,0,0,0,4,4,19,1
1650,1,2400,3,2,0,0,0,0,4,1,13,0
1660,1,1200,3,2,0,0,0,0,3,0,13,1
985,2,950,2,1,1,0,0,1,0,4,34,0
800,2,850,2,1,0,0,0,0,3,4,34,0
725,1,750,2,1,1,0,0,0,4,1,36,0
550,3,800,2,1,0,0,0,0,0,4,12,0
2400,1,2280,4,2,0,0,0,0,4,0,26,0
165,1,850,2,1,1,0,0,0,3,5,15,0
800,0,680,1,1,1,0,0,0,1,4,13,1
875,3,980,2,1,1,0,0,0,4,2,23,1
1025,3,1365,3,2,1,0,0,0,4,2,23,1
875,3,980,2,1,1,0,0,0,4,2,23,1
1025,3,1365,3,2,1,0,0,0,4,2,23,1
925,3,1115,2,2,1,0,0,0,4,2,23,1
1150,3,1300,3,2,1,0,0,0,4,2,23,1
995,3,1130,2,2,1,0,0,0,4,2,23,1
1150,3,1300,3,2,1,0,0,0,4,2,23,1
995,3,1070,2,2,1,0,0,0,4,0,23,1
575,0,1000,2,1,1,0,0,0,0,4,14,1
575,0,1000,2,1,1,0,0,0,0,4,14,1
1275,3,1514,2,2,1,0,0,0,4,2,23,1
500,3,850,2,1,1,0,0,0,0,4,12,1
795,3,704,1,1,1,0,0,0,4,0,23,1
550,3,950,3,1,1,0,0,0,0,4,12,1
1100,3,1490,2,2,1,0,0,0,4,0,23,1
460,3,750,1,1,1,0,0,0,0,4,12,1
1275,3,1514,2,2,1,0,0,0,4,0,23,1
460,3,750,1,1,1,0,0,0,0,4,12,1
1300,3,1746,3,2,1,0,0,0,4,0,23,1
935,2,1050,2,2,0,0,0,0,4,2,28,0
52995,1,2128,3,2,1,0,0,0,4,4,15,1
710,2,754,1,1,0,0,0,0,0,4,28,1
1050,2,1499,3,2,1,0,0,0,3,2,34,0
800,3,900,1,1,0,0,0,0,0,4,23,0
1529,3,1097,2,2,1,0,0,0,0,4,20,1
1100,1,2000,3,3,1,0,0,0,1,0,14,0
800,0,1004,2,1,1,0,0,0,4,4,14,1
767,0,1104,3,2,0,0,0,0,3,4,14,1
580,0,671,1,1,1,0,0,0,0,4,15,1
850,2,1106,2,1,1,0,0,0,3,2,34,1
685,0,956,2,1,1,0,0,0,3,4,15,1
1060,3,1000,2,1,0,0,0,0,0,1,22,1
680,2,553,1,1,1,0,0,0,0,4,28,1
1100,1,1625,3,2,0,0,0,0,4,4,18,1
1480,1,1900,3,2,0,0,0,0,3,0,27,1
715,0,974,2,2,1,0,0,0,3,4,15,1
949,3,1227,2,2,1,0,0,0,3,4,25,1
650,1,800,3,1,0,0,0,0,3,4,18,0
765,0,960,2,1,1,0,0,0,3,4,15,1
750,1,1313,2,2,0,0,0,0,3,4,18,1
810,3,850,2,1,0,0,0,0,0,4,29,1
495,3,750,2,1,1,0,0,0,1,4,17,0
870,0,700,1,1,0,0,0,0,4,4,15,1
925,0,784,1,1,0,0,0,0,4,4,15,1
725,1,800,2,1,0,0,0,0,0,2,22,0
1150,0,1032,2,2,1,0,0,0,4,4,15,1
1100,0,1030,1,1,1,0,0,0,4,4,15,1
1025,3,1000,2,2,1,0,1,0,4,4,20,1
1500,1,1000,3,1,0,0,0,0,3,2,14,0
1230,0,1151,2,2,1,0,0,0,4,4,15,1
750,1,1313,2,2,0,0,0,0,3,4,18,1
725,1,1350,2,2,1,0,0,0,3,4,18,0
825,1,1100,3,1,0,0,0,0,3,4,20,0
825,1,1100,3,1,0,0,0,0,3,4,20,0
1169,2,583,1,1,1,0,0,0,1,4,31,0
2849,3,977,2,2,1,0,0,0,4,0,20,1
1074,3,1000,2,2,0,1,0,0,4,4,25,1
1074,3,1000,2,2,0,1,0,0,4,4,25,1
1680,3,1000,1,1,0,1,0,0,0,4,19,1
550,1,750,2,1,0,0,0,0,4,4,36,1
2095,3,1450,2,2,0,1,0,0,0,4,19,1
2280,3,1500,3,2,0,1,0,0,0,4,19,1
555,0,550,1,1,1,1,0,0,0,4,14,1
1579,2,670,1,1,0,1,0,1,4,0,37,1
835,2,820,1,1,0,0,0,0,4,2,28,0
768,3,736,1,1,1,0,0,0,1,4,12,1
767,0,1104,3,2,0,0,0,0,3,4,14,1
635,0,508,1,1,1,1,0,0,0,4,15,1
635,0,508,1,1,1,1,0,0,0,4,15,1
450,3,700,1,1,0,0,0,0,3,4,24,0
450,3,700,1,1,0,0,0,0,3,4,24,0
860,2,1075,2,1,0,0,0,0,0,4,28,1
1495,1,1450,3,2,0,0,0,0,3,0,37,1
1175,3,1100,3,2,0,0,0,0,4,4,26,0
1275,2,968,2,2,0,0,0,0,4,1,37,1
1200,2,1195,3,2,1,0,0,0,4,4,28,1
1400,1,650,1,1,1,0,0,0,0,4,32,0
1300,1,750,2,1,0,0,0,0,3,4,19,0
925,2,1050,2,2,0,0,0,0,4,2,28,0
599,2,1090,4,2,0,1,0,1,4,0,37,1
1579,2,670,1,1,0,1,0,1,4,0,37,1
800,1,825,2,1,0,0,0,0,0,4,14,1
2100,1,1400,2,2,0,0,0,0,4,4,37,0
990,3,1059,2,2,0,0,0,0,4,4,29,1
700,0,883,2,1,0,0,0,0,1,4,14,1
1345,3,1260,2,2,0,0,0,0,1,4,22,1
657,0,818,2,1,0,0,0,0,0,4,14,1
450,3,700,1,1,0,0,0,0,3,4,24,0
1100,3,1300,2,1,0,0,0,0,3,4,19,0
767,0,1104,3,2,0,0,0,0,3,4,14,1
700,2,1000,2,1,0,1,1,1,4,0,34,1
450,3,700,1,1,0,0,0,0,3,4,24,0
1245,2,900,2,2,1,0,0,0,4,4,37,1
1345,2,1250,2,2,0,0,0,0,1,4,37,1
1245,1,1000,2,1,1,0,0,0,1,4,37,1
1800,1,950,2,1,0,0,0,1,0,1,22,0
895,2,655,1,1,1,0,0,0,1,4,37,1
1545,2,1200,2,1,1,0,0,0,4,4,37,0
430,1,1040,2,1,1,0,0,0,4,0,29,0
2500,1,2200,3,3,0,0,0,1,4,2,13,0
430,1,1040,2,1,1,0,0,0,4,0,29,0
815,1,1450,2,2,0,0,0,0,4,1,18,0
1024,1,1120,3,2,1,0,0,0,3,5,14,1
1024,1,1120,3,2,1,0,0,0,3,5,14,1
750,2,900,2,2,1,0,0,0,1,4,32,1
575,0,565,1,1,1,0,0,0,0,1,14,1
850,1,800,3,1,0,0,0,0,3,4,22,0
575,0,565,1,1,1,1,0,1,0,1,14,1
795,2,877,3,1,1,0,0,0,0,4,28,0
1380,1,1585,3,3,0,0,0,0,4,4,18,0
2640,2,982,2,2,0,1,0,0,4,2,34,1
558,0,629,1,1,1,0,0,0,1,4,15,1
2995,1,2746,3,2,0,0,0,0,3,0,37,0
860,2,1075,2,1,0,0,0,0,0,4,28,1
1050,3,1393,3,2,0,0,0,0,4,4,29,1
0,0,853,2,1,0,0,0,0,1,4,13,0
1760,3,1311,3,2,1,0,0,0,4,2,20,1
0,0,625,1,1,0,1,0,0,1,4,13,1
610,3,730,1,1,0,0,0,0,1,4,16,1
635,0,508,1,1,1,1,0,0,0,4,15,1
635,0,508,1,1,1,1,0,0,0,4,15,1
625,3,848,2,2,1,0,0,0,1,4,24,1
0,2,960,3,2,1,0,0,0,3,4,36,1
615,3,843,2,1,1,0,0,0,1,4,24,1
615,3,843,2,1,1,0,0,0,1,4,24,1
1040,2,850,2,1,0,0,0,0,1,4,37,0
805,3,1050,2,1,1,0,0,0,1,4,25,1
1700,1,1500,3,2,0,0,0,1,0,4,27,1
1000,1,850,1,1,0,0,0,1,4,4,27,1
721,3,806,2,1,1,0,0,0,1,4,26,1
475,2,684,1,1,1,0,0,0,1,4,36,0
900,3,900,2,1,0,0,0,1,2,4,19,0
1800,1,2152,3,2,0,0,0,0,4,4,32,1
895,3,550,2,1,0,0,0,0,0,2,26,1
650,2,700,1,1,0,0,0,0,4,5,34,0
425,3,450,1,1,0,0,0,0,2,4,18,0
1500,1,1904,4,2,1,0,0,0,3,0,18,1
1395,1,1600,3,1,0,0,0,0,4,4,19,0
640,2,736,2,1,1,0,0,0,0,1,35,1
1169,2,583,1,1,1,0,0,0,1,4,31,0
899,1,1000,2,1,1,0,0,0,3,1,34,0
1050,2,1499,3,2,1,0,0,0,3,2,34,1
945,3,1340,2,1,0,1,0,0,0,0,23,1
767,0,1104,3,2,0,0,0,0,3,5,14,1
972,2,1106,2,1,1,0,0,0,3,2,34,1
725,3,750,1,1,0,0,0,0,0,4,29,1
910,2,960,2,2,0,0,0,0,4,2,28,0
657,0,818,2,1,0,0,0,0,0,4,14,1
1595,1,900,2,1,0,0,0,0,4,4,34,1
1595,1,900,2,1,0,0,0,0,4,4,34,1
1595,1,900,2,1,0,0,0,0,4,4,34,1
829,0,830,2,1,1,0,0,0,1,4,14,1
1690,3,1045,2,2,1,0,0,0,4,0,23,1
999,0,1000,3,1,0,1,0,0,1,4,14,1
1149,3,1320,3,2,1,0,1,0,3,4,20,1
595,1,1800,3,2,0,0,0,1,4,4,34,1
749,3,750,1,1,1,0,0,0,1,4,25,1
1205,1,1038,2,1,1,0,0,0,4,2,23,1
790,2,950,2,2,1,0,0,0,3,4,34,0
1220,3,1690,3,2,0,0,0,0,4,4,29,1
1600,3,900,2,1,1,0,0,0,4,4,31,1
825,3,1265,3,2,0,0,0,0,3,4,16,0
795,3,892,1,1,0,1,0,0,3,4,24,1
1025,3,1328,3,2,0,1,0,0,3,4,24,1
779,2,1100,2,1,1,0,0,0,3,4,35,1
795,3,892,1,1,0,1,0,0,3,4,24,1
625,3,848,2,2,1,0,0,0,1,4,24,1
1025,3,1013,2,2,0,0,0,0,4,0,29,1
679,2,1000,2,1,1,0,0,0,3,4,35,1
710,2,1140,2,2,1,0,0,0,3,4,36,1
1120,0,1060,2,1,1,0,0,0,4,2,14,1
1695,1,1500,3,2,0,0,0,0,4,0,13,0
1025,3,1328,3,2,0,1,0,0,3,4,24,1
767,0,1104,3,2,0,0,0,0,3,4,14,1
657,0,818,2,1,0,0,0,0,0,4,14,1
850,1,1753,3,1,1,0,0,0,3,1,25,1
750,1,1200,2,2,1,0,0,0,3,4,35,0
635,3,607,1,1,0,1,0,0,4,4,12,1
600,3,741,2,1,0,0,0,0,3,5,18,0
629,2,800,2,1,1,0,0,0,3,4,35,1
875,3,1091,2,2,1,0,0,0,3,4,25,1
875,3,1091,2,2,1,0,0,0,3,4,25,1
875,3,1091,2,2,1,0,0,0,3,4,25,1
875,3,1091,2,2,1,0,0,0,3,4,25,1
892,3,953,2,2,1,0,0,0,1,4,12,1
1950,1,825,2,1,0,0,0,0,4,4,32,0
545,3,643,1,1,1,0,0,0,1,4,24,1
